Date,Steps,Calories,Distance,Active Minutes,Floors Climbed,Hours Slept,Times Awake
8/24/2013,11195,2605,5.0,23,7,,
8/25/2013,10976,2681,5.3,30,13,7.22,4
8/26/2013,4412,2245,2.0,10,13,6.85,7
8/27/2013,8372,2393,3.7,23,5,7.62,8
8/28/2013,8706,2469,4.1,31,6,9.33,15
8/29/2013,4252,2177,1.9,9,10,7.37,12
8/30/2013,12789,2813,5.7,10,4,6.12,17
8/31/2013,12365,2817,6.1,50,12,,
9/1/2013,3911,2168,1.7,6,2,7.17,11
9/2/2013,12763,3032,6.1,45,15,9.05,7
9/3/2013,4283,2162,1.9,11,5,8.30,
9/4/2013,2777,2614,1.2,4,5,7.46,23
9/5/2013,2185,2614,1.0,5,4,9.03,14
9/6/2013,5925,2147,2.6,3,5,6.77,
9/7/2013,6303,2359,2.9,12,7,9.10,7
9/8/2013,5942,2280,2.6,2,5,9.62,12
9/9/2013,5076,2293,2.3,7,7,6.23,4
9/10/2013,5778,2433,2.6,7,7,7.23,14
9/11/2013,5969,2489,2.7,4,3,7.08,10
9/12/2013,4810,2273,2.1,10,7,6.82,10
9/13/2013,5807,2284,2.6,9,4,7.05,15
9/14/2013,15372,2921,7.2,33,14,8.77,17
9/15/2013,11928,2678,5.8,41,17,7.33,9
9/16/2013,3600,2168,1.6,9,7,7.62,8
9/17/2013,3597,2205,1.6,7,5,6.67,9
9/18/2013,5568,2220,2.5,6,4,7.77,10
9/19/2013,5552,2396,2.5,6,6,6.98,9
9/20/2013,13916,2990,6.2,8,37,7.05,6
9/21/2013,13306,3045,6.0,18,47,8.73,12
9/22/2013,9120,2893,4.1,4,24,9.07,16
9/23/2013,8232,2573,3.7,14,12,7.28,7
9/24/2013,7558,2448,3.4,16,14,8.20,11
9/25/2013,4155,2183,1.9,5,6,7.25,13
9/26/2013,7969,2574,3.6,7,8,7.63,11
9/27/2013,10406,2643,4.6,21,8,7.73,10
9/28/2013,10780,2663,4.8,13,4,8.92,18
9/29/2013,6845,2638,3.0,11,16,,
9/30/2013,3746,2127,1.7,8,4,5.95,9
10/1/2013,11533,2570,5.1,38,10,8.10,
10/2/2013,5115,2614,2.0,7,7,7.53,12
10/3/2013,3991,2614,1.7,3,6,7.28,9
10/4/2013,11530,2661,5.4,37,10,,
10/5/2013,11024,3160,4.9,19,9,7.82,12
10/6/2013,13352,3021,6.3,53,12,7.73,14
10/7/2013,4492,2223,2.0,9,10,6.33,13
10/8/2013,3627,2614,1.7,7,6,5.90,10
10/9/2013,5247,2246,2.3,5,6,9.45,11
10/10/2013,11654,2656,5.3,31,5,9.45,9
10/11/2013,6823,2604,3.0,7,7,8.43,10
10/12/2013,7048,2549,3.1,6,12,8.20,9
10/13/2013,8743,2541,3.9,28,4,8.13,8
10/14/2013,8407,2449,3.8,32,10,6.70,10
10/15/2013,8938,2604,4.4,40,13,7.27,7
10/16/2013,3403,2170,1.5,6,8,8.47,16
10/17/2013,6065,2695,2.7,22,1,8.37,20
10/18/2013,6961,2503,3.1,5,4,9.42,20
10/19/2013,13259,2851,6.4,56,12,10.25,32
10/20/2013,6234,2373,2.8,19,4,9.07,10
10/21/2013,5445,2312,2.4,15,9,7.77,15
10/22/2013,4409,2195,2.0,10,13,7.15,13
10/23/2013,4549,2120,2.0,6,9,7.80,9
10/24/2013,4653,2155,2.1,8,10,8.00,15
10/25/2013,3810,2614,1.7,0,1,8.55,12
10/26/2013,22598,3409,10.2,92,29,10.47,11
10/27/2013,3844,2194,1.7,1,2,7.93,12
10/28/2013,5042,2390,2.3,8,4,6.75,7
10/29/2013,5588,2306,2.5,15,9,8.75,8
10/30/2013,4976,2166,2.2,7,5,7.93,8
10/31/2013,4444,2162,2.0,7,4,7.27,3
11/1/2013,9747,2411,4.3,20,11,6.93,1
11/2/2013,9316,2861,4.5,28,4,8.17,4
11/3/2013,11618,2948,5.4,22,6,7.07,8
11/4/2013,4552,2239,2.0,4,7,6.40,6
11/5/2013,8048,2353,3.6,11,9,8.47,8
11/6/2013,5423,2309,2.4,12,8,6.98,7
11/7/2013,5187,2272,2.3,9,5,6.87,26
11/8/2013,5640,2389,2.5,8,12,7.00,0
11/9/2013,9122,2534,4.1,13,22,8.17,5
11/10/2013,3241,2150,1.4,0,1,7.33,7
11/11/2013,3188,2614,1.4,7,6,7.50,5
11/12/2013,5023,2186,2.2,9,17,8.00,3
11/13/2013,4003,2176,1.8,6,10,8.32,6
11/14/2013,4817,2247,2.2,6,6,7.70,2
11/15/2013,7603,2523,3.4,4,5,7.77,6
11/16/2013,8873,2606,4.0,6,1,9.13,7
11/17/2013,6675,2579,3.0,7,6,6.65,13
11/18/2013,5902,2266,2.6,6,5,6.92,9
11/19/2013,3924,2159,1.7,10,9,8.47,6
11/20/2013,5604,2233,2.5,6,5,7.27,10
11/21/2013,5285,2350,2.4,7,11,7.43,0
11/22/2013,4106,2127,1.8,2,2,6.35,10
11/23/2013,2278,2814,1.0,31,2,8.17,7
11/24/2013,6184,2666,2.8,34,4,7.33,7
11/25/2013,3797,2230,1.7,9,6,7.17,10
11/26/2013,5019,2178,2.2,8,6,7.62,0
11/27/2013,3971,2545,1.8,0,3,6.80,7
11/28/2013,2765,2256,1.2,1,11,8.35,7
11/29/2013,8861,3004,4.0,4,5,8.35,11
11/30/2013,5816,2525,2.6,4,5,8.05,12
12/1/2013,6096,2687,2.7,10,5,5.15,23
12/2/2013,3626,2344,1.6,12,6,7.80,6
12/3/2013,4835,2310,2.2,7,13,7.70,8
12/4/2013,4011,2271,1.8,12,6,7.30,10
12/5/2013,6189,2441,2.8,12,10,7.20,6
12/6/2013,4829,2264,2.2,11,10,7.45,6
12/7/2013,6274,2522,2.8,10,9,8.32,4
12/8/2013,5198,2227,2.3,7,4,8.82,15
12/9/2013,3549,2112,1.6,6,5,7.48,
12/10/2013,6587,2637,2.9,3,0,7.12,6
12/11/2013,3534,2152,1.6,5,5,6.98,4
12/12/2013,4790,2312,2.1,6,7,6.60,6
12/13/2013,5539,2241,2.5,7,10,8.22,12
12/14/2013,10832,2823,4.8,0,3,6.55,8
12/15/2013,7876,2597,3.5,12,8,8.60,9
12/16/2013,4293,2292,1.9,5,5,6.37,6
12/17/2013,4754,2276,2.1,9,13,7.50,8
12/18/2013,6780,2334,3.0,8,7,7.33,
12/19/2013,4402,2203,2.0,6,9,,
12/20/2013,5784,2521,2.6,4,5,7.00,10
12/21/2013,5947,2509,2.7,3,11,6.70,8
12/22/2013,10311,2888,4.6,1,13,6.60,8
12/23/2013,7190,2460,3.2,4,2,9.10,10
12/24/2013,8882,2738,4.0,1,4,8.17,7
12/25/2013,4814,2508,2.1,0,4,7.78,18
12/26/2013,6822,2420,3.0,3,2,8.00,
12/27/2013,6960,2481,3.1,3,7,7.92,7
12/28/2013,6205,2564,2.8,3,1,8.40,14
12/29/2013,9099,2551,4.1,19,7,8.35,15
12/30/2013,8201,2460,3.7,18,13,7.20,5
12/31/2013,4653,2608,2.1,6,2,6.65,13
1/1/2014,5891,2614,2.6,4,0,8.18,8
1/2/2014,5691,2361,2.5,8,10,,
1/3/2014,7896,3014,3.5,2,4,6.80,10
1/4/2014,8409,2582,3.8,13,5,7.65,10
1/5/2014,4906,2383,2.2,0,0,8.27,7
1/6/2014,4842,2300,2.2,9,13,6.50,16
1/7/2014,4809,2289,2.1,6,5,6.68,3
1/8/2014,9684,2632,4.3,22,8,7.17,7
1/9/2014,9728,2691,4.3,13,18,6.88,6
1/10/2014,6610,2369,2.9,6,10,,
1/11/2014,10253,2721,4.6,12,9,6.70,8
1/12/2014,7379,2522,3.3,6,4,6.87,2
1/13/2014,8129,2381,3.6,28,12,7.78,8
1/14/2014,7481,2341,3.3,16,14,7.17,5
1/15/2014,6656,2351,3.1,19,10,7.02,6
1/16/2014,6943,2362,3.1,13,11,7.25,7
1/17/2014,5858,2339,2.6,7,8,7.92,
1/18/2014,10937,2651,4.9,19,9,6.55,7
1/19/2014,8732,2479,3.9,21,10,7.53,7
1/20/2014,10346,2671,4.7,32,8,8.83,14
1/21/2014,10148,2624,4.5,16,8,7.87,6
1/22/2014,7650,2647,3.4,14,1,7.52,4
1/23/2014,4924,2261,2.2,3,3,4.22,
1/24/2014,5392,2197,2.4,6,13,8.77,10
1/25/2014,5858,2263,2.6,3,4,8.73,6
1/26/2014,3819,2255,1.7,11,0,9.12,10
1/27/2014,10178,2644,4.6,2,5,,
1/28/2014,3970,2195,1.8,1,5,8.62,16
1/29/2014,4639,2273,2.1,5,3,8.02,8
1/30/2014,6312,2233,2.8,25,5,7.75,7
1/31/2014,9383,2669,4.2,22,9,6.27,4
2/1/2014,10386,2743,4.6,12,8,7.30,7
2/2/2014,5785,2685,2.7,6,1,8.83,7
2/3/2014,3131,2614,1.4,9,8,7.52,
2/4/2014,3217,2154,1.4,5,7,9.07,
2/5/2014,3575,2142,1.6,9,11,8.03,12
2/6/2014,4247,2125,1.9,10,11,6.93,
2/7/2014,12039,2541,5.8,33,11,7.72,
2/8/2014,10218,2424,4.7,12,2,8.00,5
2/9/2014,9905,2755,4.4,40,2,7.50,7
2/10/2014,6286,2566,2.7,9,8,6.05,4
2/11/2014,3870,2185,1.7,8,9,8.68,9
2/12/2014,8878,2376,4.0,5,13,7.43,5
2/13/2014,7209,2445,3.2,4,5,7.38,8
2/14/2014,7815,2558,3.6,28,4,7.58,2
2/15/2014,11657,2791,5.2,18,5,6.85,2
2/16/2014,8273,2455,3.7,16,9,8.92,9
