"Steps","Calories","Active_Minutes","Floors_Climbed","Hours_Slept","Times_Awake","Day_Monday","Day_Saturday","Day_Sunday","Day_Thursday","Day_Tuesday","Day_Wednesday"
10976,2681,30,13,7.22,4,0,0,1,0,0,0
4412,2245,10,13,6.85,7,1,0,0,0,0,0
8372,2393,23,5,7.62,8,0,0,0,0,1,0
8706,2469,31,6,9.33,15,0,0,0,0,0,1
4252,2177,9,10,7.37,12,0,0,0,1,0,0
12789,2813,10,4,6.12,17,0,0,0,0,0,0
12365,2817,50,12,9.33,14,0,1,0,0,0,0
12763,3032,45,15,9.05,7,1,0,0,0,0,0
2777,2614,4,5,7.46,23,0,0,0,0,0,1
2185,2614,5,4,9.03,14,0,0,0,1,0,0
6303,2359,12,7,9.1,7,0,1,0,0,0,0
5076,2293,7,7,6.23,4,1,0,0,0,0,0
5778,2433,7,7,7.23,14,0,0,0,0,1,0
5807,2284,9,4,7.05,15,0,0,0,0,0,0
11928,2678,41,17,7.33,9,0,0,1,0,0,0
3600,2168,9,7,7.62,8,1,0,0,0,0,0
3597,2205,7,5,6.67,9,0,0,0,0,1,0
5568,2220,6,4,7.77,10,0,0,0,0,0,1
5552,2396,6,6,6.98,9,0,0,0,1,0,0
13916,2990,8,37,7.05,6,0,0,0,0,0,0
13306,3045,18,47,8.73,12,0,1,0,0,0,0
8232,2573,14,12,7.28,7,1,0,0,0,0,0
4155,2183,5,6,7.25,13,0,0,0,0,0,1
10780,2663,13,4,8.92,18,0,1,0,0,0,0
6845,2638,11,16,8,7,0,0,1,0,0,0
3746,2127,8,4,5.95,9,1,0,0,0,0,0
11533,2570,38,10,8.1,3,0,0,0,0,1,0
5115,2614,7,7,7.53,12,0,0,0,0,0,1
3991,2614,3,6,7.28,9,0,0,0,1,0,0
11530,2661,37,10,6.65,9,0,0,0,0,0,0
11024,3160,19,9,7.82,12,0,1,0,0,0,0
13352,3021,53,12,7.73,14,0,0,1,0,0,0
11654,2656,31,5,9.45,9,0,0,0,1,0,0
6823,2604,7,7,8.43,10,0,0,0,0,0,0
7048,2549,6,12,8.2,9,0,1,0,0,0,0
8743,2541,28,4,8.13,8,0,0,1,0,0,0
8938,2604,40,13,7.27,7,0,0,0,0,1,0
3403,2170,6,8,8.47,16,0,0,0,0,0,1
6961,2503,5,4,9.42,20,0,0,0,0,0,0
13259,2851,56,12,10.25,32,0,1,0,0,0,0
6234,2373,19,4,9.07,10,0,0,1,0,0,0
4549,2120,6,9,7.8,9,0,0,0,0,0,1
22598,3409,92,29,10.47,11,0,1,0,0,0,0
5042,2390,8,4,6.75,7,1,0,0,0,0,0
5588,2306,15,9,8.75,8,0,0,0,0,1,0
4976,2166,7,5,7.93,8,0,0,0,0,0,1
9747,2411,20,11,6.93,1,0,0,0,0,0,0
4552,2239,4,7,6.4,6,1,0,0,0,0,0
8048,2353,11,9,8.47,8,0,0,0,0,1,0
5423,2309,12,8,6.98,7,0,0,0,0,0,1
5187,2272,9,5,6.87,26,0,0,0,1,0,0
5640,2389,8,12,7,0,0,0,0,0,0,0
3188,2614,7,6,7.5,5,1,0,0,0,0,0
4003,2176,6,10,8.32,6,0,0,0,0,0,1
8873,2606,6,1,9.13,7,0,1,0,0,0,0
6675,2579,7,6,6.65,13,0,0,1,0,0,0
5902,2266,6,5,6.92,9,1,0,0,0,0,0
3924,2159,10,9,8.47,6,0,0,0,0,1,0
5285,2350,7,11,7.43,0,0,0,0,1,0,0
2278,2814,31,2,8.17,7,0,1,0,0,0,0
3797,2230,9,6,7.17,10,1,0,0,0,0,0
5019,2178,8,6,7.62,0,0,0,0,0,1,0
3971,2545,0,3,6.8,7,0,0,0,0,0,1
2765,2256,1,11,8.35,7,0,0,0,1,0,0
3626,2344,12,6,7.8,6,1,0,0,0,0,0
4835,2310,7,13,7.7,8,0,0,0,0,1,0
4011,2271,12,6,7.3,10,0,0,0,0,0,1
6189,2441,12,10,7.2,6,0,0,0,1,0,0
4829,2264,11,10,7.45,6,0,0,0,0,0,0
5198,2227,7,4,8.82,15,0,0,1,0,0,0
3549,2112,6,5,7.48,3,1,0,0,0,0,0
6587,2637,3,0,7.12,6,0,0,0,0,1,0
3534,2152,5,5,6.98,4,0,0,0,0,0,1
5539,2241,7,10,8.22,12,0,0,0,0,0,0
10832,2823,0,3,6.55,8,0,1,0,0,0,0
7876,2597,12,8,8.6,9,0,0,1,0,0,0
4754,2276,9,13,7.5,8,0,0,0,0,1,0
6780,2334,8,7,7.33,13,0,0,0,0,0,1
4402,2203,6,9,7.5,7,0,0,0,1,0,0
5784,2521,4,5,7,10,0,0,0,0,0,0
5947,2509,3,11,6.7,8,0,1,0,0,0,0
10311,2888,1,13,6.6,8,0,0,1,0,0,0
7190,2460,4,2,9.1,10,1,0,0,0,0,0
8882,2738,1,4,8.17,7,0,0,0,0,1,0
4814,2508,0,4,7.78,18,0,0,0,0,0,1
6960,2481,3,7,7.92,7,0,0,0,0,0,0
6205,2564,3,1,8.4,14,0,1,0,0,0,0
9099,2551,19,7,8.35,15,0,0,1,0,0,0
4653,2608,6,2,6.65,13,0,0,0,0,1,0
5891,2614,4,0,8.18,8,0,0,0,0,0,1
4809,2289,6,5,6.68,3,0,0,0,0,1,0
9684,2632,22,8,7.17,7,0,0,0,0,0,1
9728,2691,13,18,6.88,6,0,0,0,1,0,0
6610,2369,6,10,7.7,8,0,0,0,0,0,0
7379,2522,6,4,6.87,2,0,0,1,0,0,0
6656,2351,19,10,7.02,6,0,0,0,0,0,1
6943,2362,13,11,7.25,7,0,0,0,1,0,0
5858,2339,7,8,7.92,7,0,0,0,0,0,0
10937,2651,19,9,6.55,7,0,1,0,0,0,0
8732,2479,21,10,7.53,7,0,0,1,0,0,0
10346,2671,32,8,8.83,14,1,0,0,0,0,0
7650,2647,14,1,7.52,4,0,0,0,0,0,1
4924,2261,3,3,4.22,1,0,0,0,1,0,0
5392,2197,6,13,8.77,10,0,0,0,0,0,0
5858,2263,3,4,8.73,6,0,1,0,0,0,0
3819,2255,11,0,9.12,10,0,0,1,0,0,0
10178,2644,2,5,7.12,10,1,0,0,0,0,0
3970,2195,1,5,8.62,16,0,0,0,0,1,0
6312,2233,25,5,7.75,7,0,0,0,1,0,0
9383,2669,22,9,6.27,4,0,0,0,0,0,0
10386,2743,12,8,7.3,7,0,1,0,0,0,0
3217,2154,5,7,9.07,7,0,0,0,0,1,0
3575,2142,9,11,8.03,12,0,0,0,0,0,1
4247,2125,10,11,6.93,10,0,0,0,1,0,0
12039,2541,33,11,7.72,4,0,0,0,0,0,0
6286,2566,9,8,6.05,4,1,0,0,0,0,0
3870,2185,8,9,8.68,9,0,0,0,0,1,0
8878,2376,5,13,7.43,5,0,0,0,0,0,1
8170,2409,7,7,6.67,10,1,0,0,0,0,0
7484,2516,33,8,8.4,7,0,0,0,0,1,0
8378,2561,21,8,7.4,6,0,0,0,0,0,0
20849,3106,52,23,7.22,9,0,1,0,0,0,0
8795,2670,30,7,7.18,13,0,0,1,0,0,0
4037,2220,5,10,7.33,1,0,0,0,0,1,0
8421,2562,39,5,9.02,11,0,0,0,0,0,1
6280,2456,13,10,7.5,13,0,0,0,1,0,0
6727,2436,7,9,6.43,7,0,0,0,0,0,0
9728,2634,25,0,7.6,6,0,1,0,0,0,0
5050,2353,11,2,8.3,7,0,0,1,0,0,0
7504,2572,12,4,6.37,15,1,0,0,0,0,0
7490,2475,20,5,7.35,10,0,0,0,0,1,0
