Symbol,Date,Close,High,Low,Open,Volume
SPY,2/1/1993,44.25,44.25,43.97,43.97,480500
SPY,2/2/1993,44.34,44.38,44.13,44.22,201300
SPY,2/3/1993,44.81,44.84,44.38,44.41,529400
SPY,2/4/1993,45,45.09,44.47,44.97,531500
SPY,2/5/1993,44.97,45.06,44.72,44.97,492100
SPY,2/8/1993,44.97,45.13,44.91,44.97,596100
SPY,2/9/1993,44.66,44.81,44.56,44.81,122100
SPY,2/10/1993,44.72,44.75,44.53,44.66,379600
SPY,2/11/1993,44.94,45.13,44.78,44.78,19500
SPY,2/12/1993,44.59,44.88,44.59,44.88,42500
SPY,2/15/1993,44.59,44.88,44.59,44.88,0
SPY,2/16/1993,43.47,44.47,43.41,44.47,374800
SPY,2/17/1993,43.44,43.53,43.28,43.47,210900
SPY,2/18/1993,43.41,43.94,42.81,43.94,378100
SPY,2/19/1993,43.56,43.56,43.34,43.41,34900
SPY,2/22/1993,43.72,43.78,43.56,43.69,513599
SPY,2/23/1993,43.69,43.88,43.47,43.84,373700
SPY,2/24/1993,44.25,44.25,43.72,43.72,26300
SPY,2/25/1993,44.34,44.38,44.13,44.22,44500
SPY,2/26/1993,44.41,44.44,44.19,44.44,66200
SPY,3/1/1993,44.28,44.56,44.22,44.56,66500
SPY,3/2/1993,44.94,44.94,44.25,44.31,182400
SPY,3/3/1993,45.13,45.16,44.94,45,280100
SPY,3/4/1993,44.88,45.19,44.88,45.19,89500
SPY,3/5/1993,44.75,45.13,44.72,44.94,40000
SPY,3/8/1993,45.75,45.75,44.84,44.84,50800
SPY,3/9/1993,45.59,45.69,45.5,45.66,169300
SPY,3/10/1993,45.69,45.69,45.41,45.59,194400
SPY,3/11/1993,45.56,45.84,45.5,45.72,70900
SPY,3/12/1993,45.09,45.22,44.81,45.19,643600
SPY,3/15/1993,45.31,45.31,45.06,45.06,310800
SPY,3/16/1993,45.31,45.44,45.31,45.31,30800
SPY,3/17/1993,45.03,45.25,44.97,45.25,21800
SPY,3/18/1993,45.31,45.5,45.22,45.22,59300
SPY,3/19/1993,45.03,45.28,45.03,45.28,66900
SPY,3/22/1993,44.78,44.88,44.56,44.59,183400
SPY,3/23/1993,44.88,44.94,44.81,44.91,55200
SPY,3/24/1993,44.88,45.06,44.59,44.81,37200
SPY,3/25/1993,45.16,45.25,44.84,44.91,110100
SPY,3/26/1993,44.91,45.16,44.88,45.13,101500
SPY,3/29/1993,45.09,45.31,44.94,44.94,87100
SPY,3/30/1993,45.22,45.22,45.09,45.16,56000
SPY,3/31/1993,45.19,45.47,45.19,45.34,111600
SPY,4/1/1993,45.03,45.25,44.94,45.25,129500
SPY,4/2/1993,44.09,44.66,44.09,44.66,59400
SPY,4/5/1993,44.31,44.44,44.19,44.44,172200
SPY,4/6/1993,44.19,44.41,44.06,44.41,129700
SPY,4/7/1993,44.34,44.34,44.16,44.25,28000
